id	name	count
1	김을동	67
10	신기남	66
11	인재근	66
12	정두언	63
13	노웅래	68
14	민병두	67
15	전병헌	68
16	김성태	61
17	유기홍	69
18	추미애	68
19	박영선	64
2	박인숙	68
20	안규백	66
21	우상호	66
22	최재천	61
23	이인영	68
24	강석훈	62
25	서영교	70
26	이상규	1
27	홍익표	65
28	오영식	67
29	김용태	61
30	박홍근	70
31	정호준	64
32	심재권	72
33	유인태	65
34	김종훈	61
35	김한길	62
36	이목희	66
37	신경민	66
38	신동우	63
39	신계륜	64
4	유승희	69
40	이노근	64
41	심윤조	69
42	길정우	64
43	김회선	62
44	유일호	62
45	우원식	66
46	안철수	31
47	정청래	66
5	이재오	65
6	진영	62
7	정세균	65
8	유대운	67
9	정몽준	37